Datum,Name Haltestelle,Kundengewichtete Ankunftspünktlichkeit,Kundengewichtete Ankunftspünktlichkeit Fernverkehr,Kundengewichtete Ankunftspünktlichkeit Regionalverkehr,Kundengewichtete Anschlüsse,key
2019-08-04,Aarau,98.5519265028,98.0428529505,100,,2019-08-04 00:00:00-AA
2019-08-03,Aarau,96.5476309365,95.5499040814,99.5132847001,99.5236379274,2019-08-03 00:00:00-AA
2019-08-02,Aarau,97.3329628443,97.3822895432,97.2299651762,98.7037267063,2019-08-02 00:00:00-AA
2019-08-01,Aarau,95.342702644,94.4412627318,98.0245376723,96.4890758518,2019-08-01 00:00:00-AA
2019-07-31,Aarau,91.6644162895,90.1373473153,94.870568297,98.2707789901,2019-07-31 00:00:00-AA
2019-07-30,Aarau,91.3080163789,90.489215785,93.0232247457,98.334780742,2019-07-30 00:00:00-AA
2019-07-29,Aarau,88.1988994273,82.9403212025,99.1220524154,95.9754967515,2019-07-29 00:00:00-AA
2019-07-28,Aarau,92.7466108373,92.2063625301,94.3474968234,97.221916368,2019-07-28 00:00:00-AA
2019-07-27,Aarau,97.4298610175,96.7940861652,99.3196448536,99.7747153171,2019-07-27 00:00:00-AA
2019-07-26,Aarau,83.5249260114,83.791533867,82.9665614113,93.1814622823,2019-07-26 00:00:00-AA
2019-07-25,Aarau,73.8751356528,69.7299340287,82.5035971645,90.2253066216,2019-07-25 00:00:00-AA
2019-07-24,Aarau,87.5055189033,83.2721041046,96.3034272952,94.116658213,2019-07-24 00:00:00-AA
2019-07-23,Aarau,89.8302556591,85.9248944064,97.8755936361,96.3137712307,2019-07-23 00:00:00-AA
2019-07-22,Aarau,93.6435312584,91.3966113855,98.4314774444,98.1478964769,2019-07-22 00:00:00-AA
2019-07-21,Aarau,95.487094383,94.9353435782,96.8274861283,97.4559289986,2019-07-21 00:00:00-AA
2019-07-20,Aarau,92.8860301886,89.9156302824,100,98.3553695175,2019-07-20 00:00:00-AA
2019-07-19,Aarau,94.3101751539,94.2868104982,94.3554859472,99.1080149127,2019-07-19 00:00:00-AA
2019-07-18,Aarau,94.3362913742,92.7684549424,97.5759126608,99.6155707845,2019-07-18 00:00:00-AA
2019-07-17,Aarau,91.4111285903,88.9097351298,96.601017155,99.3762770314,2019-07-17 00:00:00-AA
2019-07-16,Aarau,94.985188187,93.5722442034,97.829233525,97.1915798087,2019-07-16 00:00:00-AA
2019-07-15,Aarau,96.4915931531,96.1105046185,97.2886094241,99.0374960131,2019-07-15 00:00:00-AA
2019-07-14,Aarau,90.5522778849,88.9034701174,95.4193885457,98.6743173206,2019-07-14 00:00:00-AA
2019-07-13,Aarau,88.9378255709,87.5197919507,93.0696275148,99.6876162142,2019-07-13 00:00:00-AA
2019-07-12,Aarau,95.4549859099,93.4349438683,99.6870961386,99.2951589832,2019-07-12 00:00:00-AA
2019-07-11,Aarau,91.3249389767,88.9225049189,96.2524239204,99.4451403365,2019-07-11 00:00:00-AA
2019-07-10,Aarau,85.4916308818,82.2557334249,92.2724943517,96.6969420154,2019-07-10 00:00:00-AA
2019-07-09,Aarau,94.7336379027,94.1380862261,95.9753221073,97.8103435551,2019-07-09 00:00:00-AA
2019-07-08,Aarau,91.9304489052,91.3851348888,93.0606150102,97.8559865371,2019-07-08 00:00:00-AA
2019-07-07,Aarau,97.8293902097,97.8508067424,97.7666013297,99.2718667601,2019-07-07 00:00:00-AA
2019-07-06,Aarau,96.2593186268,95.9609397695,97.139829291,99.4846744277,2019-07-06 00:00:00-AA
2019-07-05,Aarau,93.1647644838,92.1647754297,95.2756695556,96.6453670669,2019-07-05 00:00:00-AA
2019-07-04,Aarau,87.7790922116,83.8536245714,96.0018613673,96.1808940274,2019-07-04 00:00:00-AA
2019-07-03,Aarau,85.5943576187,84.5725436259,87.7348342026,97.4739343469,2019-07-03 00:00:00-AA
2019-07-02,Aarau,88.828115939,85.7602882951,95.2044878496,94.8378548531,2019-07-02 00:00:00-AA
2019-07-01,Aarau,88.9065377735,87.2178751403,92.4393441647,97.603662273,2019-07-01 00:00:00-AA
2019-06-30,Aarau,85.731557912,84.8129097381,88.4645884979,93.9478627843,2019-06-30 00:00:00-AA
2019-06-29,Aarau,91.4807057462,90.7203166086,93.6796366261,92.6952884383,2019-06-29 00:00:00-AA
2019-06-28,Aarau,87.3009416966,83.5409675647,95.1146002243,93.0392567273,2019-06-28 00:00:00-AA
2019-06-27,Aarau,82.2193650446,75.2379499376,96.6507317047,92.6574452822,2019-06-27 00:00:00-AA
2019-06-26,Aarau,80.2373372669,78.154261667,84.6671194856,88.6748142602,2019-06-26 00:00:00-AA
2019-06-25,Aarau,91.4678793946,88.8630442244,96.9244400168,96.3470358049,2019-06-25 00:00:00-AA
2019-06-24,Aarau,87.4199398327,84.1107117703,94.4965432212,95.2972094575,2019-06-24 00:00:00-AA
2019-06-23,Aarau,95.7168286008,94.6109768848,98.9971346137,97.597299572,2019-06-23 00:00:00-AA
2019-06-22,Aarau,96.8891734689,96.7257271495,97.3750030219,99.0621511394,2019-06-22 00:00:00-AA
2019-06-21,Aarau,88.4258216454,86.7568534943,91.9211902718,97.7820140938,2019-06-21 00:00:00-AA
2019-06-20,Aarau,90.3556217226,88.4179165488,94.414578208,97.5509062708,2019-06-20 00:00:00-AA
2019-06-19,Aarau,94.2956755012,93.7319685277,95.4666975416,97.3450356415,2019-06-19 00:00:00-AA
2019-06-18,Aarau,80.4305454829,76.7033469563,88.1991900063,93.8173767681,2019-06-18 00:00:00-AA
2019-06-17,Aarau,92.2732687331,89.7810616875,97.4938980392,98.998966629,2019-06-17 00:00:00-AA
2019-06-16,Aarau,95.5685057991,94.6277429493,98.3673288038,99.274143833,2019-06-16 00:00:00-AA
2019-06-15,Aarau,94.1589542476,92.8583193152,98.002132971,97.7770915991,2019-06-15 00:00:00-AA
2019-06-14,Aarau,92.0392282559,92.0124620583,92.0952854832,95.9127601644,2019-06-14 00:00:00-AA
2019-06-13,Aarau,92.9037440044,90.4133443356,98.0687996583,99.7089378431,2019-06-13 00:00:00-AA
2019-06-12,Aarau,90.9229315027,90.8457089077,91.0841966279,93.611193983,2019-06-12 00:00:00-AA
2019-06-11,Aarau,88.7914414627,84.6611453011,97.4663584315,95.9193586491,2019-06-11 00:00:00-AA
2019-06-10,Aarau,93.8687148162,92.3946206758,98.2542287557,99.8699811473,2019-06-10 00:00:00-AA
2019-06-09,Aarau,95.7420620994,94.9663322853,98.0431430468,97.8267101534,2019-06-09 00:00:00-AA
2019-06-08,Aarau,97.0663238399,97.1947592595,96.6694865946,99.0179373805,2019-06-08 00:00:00-AA
2019-06-07,Aarau,84.2966323582,83.8340356923,85.3285795311,93.0187027938,2019-06-07 00:00:00-AA
2019-06-06,Aarau,91.7374485968,90.9058911181,93.4701416756,98.4294499386,2019-06-06 00:00:00-AA
2019-06-05,Aarau,89.9293810456,87.9901265009,94.0509895504,98.373228726,2019-06-05 00:00:00-AA
2019-06-04,Aarau,80.8932224398,77.2589321745,88.9327131551,92.95660429,2019-06-04 00:00:00-AA
2019-06-03,Aarau,91.6090673527,88.3398901466,98.5094800382,93.7916907468,2019-06-03 00:00:00-AA
2019-06-02,Aarau,89.8891770495,87.7572251052,96.280287439,96.7431594935,2019-06-02 00:00:00-AA
2019-06-01,Aarau,97.8808150458,97.186958744,100,99.6437318943,2019-06-01 00:00:00-AA
2019-05-31,Aarau,96.3591489944,94.8647679174,99.4214996854,99.4290401912,2019-05-31 00:00:00-AA
2019-05-30,Aarau,87.954635866,86.6519139251,91.6167708789,96.2668513701,2019-05-30 00:00:00-AA
2019-05-29,Aarau,93.9166189816,92.8823390441,96.1148332378,99.6508485281,2019-05-29 00:00:00-AA
2019-05-28,Aarau,93.4950073944,91.657601641,97.4001508426,99.5162601352,2019-05-28 00:00:00-AA
2019-05-27,Aarau,97.8793507537,96.9018298227,99.95693185,98.6660037202,2019-05-27 00:00:00-AA
2019-05-26,Aarau,96.375782045,96.3952981807,96.3219135818,98.8790419619,2019-05-26 00:00:00-AA
2019-05-25,Aarau,94.5232627351,94.6062495571,94.2910771097,98.092939559,2019-05-25 00:00:00-AA
2019-05-24,Aarau,88.9133096104,86.4353140653,94.1790587752,97.2751257857,2019-05-24 00:00:00-AA
2019-05-23,Aarau,89.5104954602,88.1507460701,92.401693729,99.1574118989,2019-05-23 00:00:00-AA
2019-05-22,Aarau,69.6153336702,62.9174291359,81.8365482824,89.1315874147,2019-05-22 00:00:00-AA
2019-05-21,Aarau,86.5062051021,83.9276511102,91.9865532555,96.9473714221,2019-05-21 00:00:00-AA
2019-05-20,Aarau,88.6616149736,87.8231014407,90.4437557028,95.1790825483,2019-05-20 00:00:00-AA
2019-05-19,Aarau,95.2710282091,95.4027221592,94.9076010088,100,2019-05-19 00:00:00-AA
2019-05-18,Aarau,92.7588226934,92.4204452275,93.6766043145,98.233027317,2019-05-18 00:00:00-AA
2019-05-17,Aarau,92.2473436721,90.4037918538,96.1648977077,99.812974908,2019-05-17 00:00:00-AA
2019-05-16,Aarau,88.2638382187,87.1554608883,90.6195358986,95.1587030505,2019-05-16 00:00:00-AA
2019-05-15,Aarau,90.7608108085,89.3881056937,93.671533639,99.6451188911,2019-05-15 00:00:00-AA
2019-05-14,Aarau,94.2090171819,93.3556671451,96.0226907808,97.1987282847,2019-05-14 00:00:00-AA
2019-05-13,Aarau,91.6626156164,90.6447804857,93.8258787849,97.2110426321,2019-05-13 00:00:00-AA
2019-05-12,Aarau,90.4547720964,91.6582005203,86.7087690517,95.4277476996,2019-05-12 00:00:00-AA
2019-05-11,Aarau,88.0340608178,88.9694378615,85.1772200677,99.8086010727,2019-05-11 00:00:00-AA
2019-05-10,Aarau,89.4820369631,89.4469837049,89.5573087032,95.4193462597,2019-05-10 00:00:00-AA
2019-05-09,Aarau,93.447267239,91.2272861171,98.1263988193,94.0002540029,2019-05-09 00:00:00-AA
2019-05-08,Aarau,83.4920328361,81.4660717188,87.7823318623,95.2924895421,2019-05-08 00:00:00-AA
2019-05-07,Aarau,88.4561993316,86.2882177023,93.1177565278,93.7584216208,2019-05-07 00:00:00-AA
2019-05-06,Aarau,96.0646523687,95.6810619117,96.8829483246,99.3044087025,2019-05-06 00:00:00-AA
2019-05-05,Aarau,98.6921369522,98.2909999713,100,100,2019-05-05 00:00:00-AA
2019-05-04,Aarau,93.5035151301,92.4055174421,96.9083548797,97.7828709538,2019-05-04 00:00:00-AA
2019-05-03,Aarau,92.6899556542,92.2757453425,93.5701540095,97.061366365,2019-05-03 00:00:00-AA
2019-05-02,Aarau,95.8289350867,96.3657128388,94.6880906555,99.7470691639,2019-05-02 00:00:00-AA
2019-05-01,Aarau,96.0604550627,94.8009925131,98.7014688497,99.3404055054,2019-05-01 00:00:00-AA
2019-04-30,Aarau,92.8662528018,91.4532943405,95.8216847254,98.8196507984,2019-04-30 00:00:00-AA
2019-04-29,Aarau,91.8720785918,88.4383390784,99.1683913876,98.6262127962,2019-04-29 00:00:00-AA
2019-04-28,Aarau,92.2948599159,90.6580687613,97.3898240426,94.5083201258,2019-04-28 00:00:00-AA
2019-04-27,Aarau,95.760627707,94.8370931932,98.6324508145,99.0317572514,2019-04-27 00:00:00-AA
2019-04-26,Aarau,91.472317585,92.3606734743,89.5466103806,95.1230714461,2019-04-26 00:00:00-AA
2019-04-25,Aarau,95.2677377838,95.3428991177,95.1079931059,98.4218802035,2019-04-25 00:00:00-AA
2019-04-24,Aarau,92.4434305801,91.1180935149,95.2602451825,99.7550925075,2019-04-24 00:00:00-AA
2019-04-23,Aarau,95.624474569,94.1363834523,98.8629402964,99.3696993027,2019-04-23 00:00:00-AA
2019-04-22,Aarau,96.9250658596,96.6097850331,97.9064644311,99.8116371852,2019-04-22 00:00:00-AA
2019-04-21,Aarau,99.3125924117,99.7207328001,98.0519358256,99.7327132748,2019-04-21 00:00:00-AA
2019-04-20,Aarau,95.3897021572,94.9955654845,96.6153096326,99.4010952703,2019-04-20 00:00:00-AA
2019-04-19,Aarau,97.9431403011,97.9567636116,97.9007339879,99.6221110341,2019-04-19 00:00:00-AA
2019-04-18,Aarau,94.223894094,92.4054314042,98.0887767668,93.8783792867,2019-04-18 00:00:00-AA
2019-04-17,Aarau,93.3209890323,91.7545506303,96.6502300839,98.7156058443,2019-04-17 00:00:00-AA
2019-04-16,Aarau,89.2649674102,86.2260585079,95.5099196921,97.4427413923,2019-04-16 00:00:00-AA
2019-04-15,Aarau,95.2053551964,95.4754701725,94.6312644018,99.1738913886,2019-04-15 00:00:00-AA
2019-04-14,Aarau,94.8283370937,93.287421967,99.6248606274,99.9380029265,2019-04-14 00:00:00-AA
2019-04-13,Aarau,98.8457689789,98.9688015679,98.4676301852,100,2019-04-13 00:00:00-AA
2019-04-12,Aarau,97.4624081921,97.345010493,97.7118787117,99.5707972016,2019-04-12 00:00:00-AA
2019-04-11,Aarau,92.7028624777,91.940694197,94.3318880123,97.8369271127,2019-04-11 00:00:00-AA
2019-04-10,Aarau,89.6442649991,86.2051045734,96.9537091864,97.9129371569,2019-04-10 00:00:00-AA
2019-04-09,Aarau,91.5827691186,91.1446421299,92.5210688647,99.458404017,2019-04-09 00:00:00-AA
2019-04-08,Aarau,95.3538872053,93.5475907253,99.2739981228,99.1767350036,2019-04-08 00:00:00-AA
2019-04-07,Aarau,95.4495627224,95.0815807228,96.5920475899,99.9229969809,2019-04-07 00:00:00-AA
